domain,language,count_commoncrawl,count_google,,,,,
inyarwanda.com,Kinyarwanda,2456,128000,,,,,
kigalitoday.com,Kinyarwanda,1441,73900,,,,,
intyoza.com,Kinyarwanda,1278,29000,,,,,
umunsi.com,Kinyarwanda,766,5050,,,,,
igihe.com,Kinyarwanda,500,361000,,,,,
rwandamagazine.com,Kinyarwanda,376,9970,,,,,
umuseke.rw,Kinyarwanda,292,104000,,,,,
igishushanyo.com,Kinyarwanda,284,1990,,,,,
amakuruki.com,Kinyarwanda,205,1200,,,,,
imvahonshya.co.rw,Kinyarwanda,187,23200,,,,,
teradignews.rw,Kinyarwanda,159,25000,,,,,
igicumbi.com,Kinyarwanda,114,431,,,,,
banglanews24.com,Bengali,22635,957000,,,,,
prothomalo.com,Bengali,22515,1150000,,,,,
jagonews24.com,Bengali,21514,484000,,,,,
ihadis.com,Bengali,12138,26700,,,,,
brta.gov.bd,Bengali,8760,7310,,,,,1
protisomoy.com,Bengali,566,1060,,,,,
newspostbd.com,Bengali,565,2450,,,,,3
nilkontho.net,Bengali,565,1450,,,,,4
nurulislambulbul.com,Bengali,565,595,,,,,5
dailydeshbangla24.com,Bengali,564,591,,,,,
magurarkotha.com,Bengali,562,2450,,,,,7
dainikdristipat.com,Bengali,561,3780,,,,,8
jamhurimedia.co.tz,Swahili,2015,18700,,,,,9
mwanza.go.tz,Swahili,1342,5680,,,,,10
largehand.online,Swahili,1199,8050,,,,,
bongoclass.com,Swahili,1152,8390,,,,,12
mzalendo.co.tz,Swahili,1124,14300,,,,,13
alhidaaya.com,Swahili,990,12700,,,,,14
radiotadio.co.tz,Swahili,990,16000,,,,,15
swahilimusicnotes.com,Swahili,948,134000,,,,,16
tamisemi.go.tz,Swahili,927,539000,,,,,17
ruvuma.go.tz,Swahili,901,12800,,,,,18
chimicron-tz.com,Swahili,887,5600,,,,,19
arusha.go.tz,Swahili,875,7300,,,,,20
meridianbet.co.tz,Swahili,581,9970,,,,,21
livescores.pro,Swahili,568,22300,,,,,22
hakunamatatariccione.it,Swahili,527,151000,,,,,
blogspot.com,English,6411132,133000000,,,,,
fandom.com,English,1522344,475000000,,,,,
photoshelter.com,English,1496217,9160000,,,,,
medium.com,English,1461826,51000000,,,,,
ox.ac.uk,English,1112433,2230000,,,,,
libsyn.com,English,993187,857000,,,,,
mit.edu,English,845240,3730000,,,,,
nih.gov,English,787780,463000000,,,,,
ning.com,English,665605,641000,,,,,
berkeley.edu,English,656441,2600000,,,,,
harvard.edu,English,639611,8120000,,,,,
justia.com,English,572494,4490000,,,,,
stanford.edu,English,569222,3010000,,,,,
noaa.gov,English,541079,1240000,,,,,
myshopify.com,English,536002,50300000,,,,,
wisc.edu,English,522102,1390000,,,,,
workplace.com,English,510142,405000,,,,,